Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome
Pityophthorus micrographus	2	2	monophyletic		1.23		19.43	match	match	match	match
Placusa depressa	1	1	monophyletic		N/A		15.18	match	match	match	match
Placusa incompleta	1	1	monophyletic		N/A		6.90	match	match	match	match
Placusa tachyporoides	2	1	monophyletic		0.00		6.90	match	match	match	match
Plagiodera versicolora	3	1	monophyletic		0.00		16.80	match	match	match	match
Plagionotus arcuatus	3	2	monophyletic		0.16		3.59	merge	match	merge	match
Plagionotus detritus	1	1	monophyletic		N/A		3.59	merge	match	merge	match
Plagiosterna aenea	2	2	monophyletic		0.30		15.17	match	match	match	match
Platambus maculatus	3	3	monophyletic		1.23		14.77	match	match	match	split
Plateumaris braccata	1	1	monophyletic		N/A		15.45	match	match	match	match
Plateumaris discolor	7	5	paraphyletic	Plateumaris sericea	3.62	2.06	0.61	merge	mixture	mixture	mixture
Plateumaris sericea	1	1	monophyletic		N/A		0.61	merge	mixture	mixture	mixture
Plateumaris weisei	2	2	monophyletic		0.15		16.59	match	match	match	match
Platycerus caprea	4	2	monophyletic		0.15		17.05	match	match	match	match
Platycis minuta	1	1	monophyletic		N/A		18.34	match	match	match	match
Platydracus fulvipes	3	2	monophyletic		0.15		9.94	match	match	match	match
Platydracus latebricola	1	1	monophyletic		N/A		9.94	match	match	match	match
Platynus assimilis	6	2	monophyletic		0.15		9.39	match	match	match	match
Platynus mannerheimii	3	1	monophyletic		0.00		8.30	match	match	match	match
Platysoma deplanatum	1	1	monophyletic		N/A		19.49	match	match	match	match
Platystethus arenarius	2	1	monophyletic		0.00		15.35	match	match	match	match
Platystethus nodifrons	1	1	monophyletic		N/A		21.34	match	match	match	match
Platystomos albinus	5	4	monophyletic		0.46		19.04	match	match	match	match
Plegaderus saucius	2	1	monophyletic		0.00		17.87	match	match	match	match
Pocadius ferrugineus	2	1	monophyletic		0.00		18.97	match	match	match	match
Podabrus alpinus	3	1	monophyletic		0.00		10.76	match	match	match	match
Podabrus flavimanus	2	1	monophyletic		0.00		7.20	match	match	match	match
Podabrus lapponicus	4	1	monophyletic		0.00		7.20	match	match	match	match
Podistra schoenherri	2	1	monophyletic		0.00		10.76	match	match	match	match
Poecilium alni	3	2	monophyletic		0.16		17.12	match	match	match	match
Poecilonota variolosa	3	1	monophyletic		0.00		16.47	match	match	match	match
Poecilus cupreus	5	1	monophyletic		0.00		4.87	match	match	match	match
Poecilus lepidus	3	1	monophyletic		0.00		7.17	match	match	match	match
Poecilus versicolor	7	3	monophyletic		0.92		4.87	match	match	match	match
Pogonocherus decoratus	4	1	monophyletic		0.00		19.39	match	match	match	match
Pogonocherus hispidus	1	1	monophyletic		N/A		18.05	match	match	match	match
Polydrusus cervinus	4	4	monophyletic		2.01	1.54	12.17	match	match	match	match
Polydrusus fulvicornis	5	4	monophyletic		0.76		14.86	match	match	match	match
Polydrusus mollis	4	4	monophyletic		0.61		18.51	match	match	match	match
Polydrusus pilosus	4	4	monophyletic		0.46		12.17	match	match	match	match
Polydrusus tereticollis	3	3	monophyletic		0.46		14.86	match	match	match	match
Porhydrus lineatus	2	2	monophyletic		0.15		12.58	match	match	match	match
Prasocuris phellandrii	1	1	monophyletic		N/A		16.49	match	match	match	match
Pria dulcamarae	5	4	monophyletic		0.47		14.71	match	match	match	match
Prionus coriarius	1	1	monophyletic		N/A		19.76	match	match	match	match
Propylea quatuordecimpunctata	6	4	monophyletic		1.08		13.64	match	match	match	match
Prosternon tessellatum	5	1	monophyletic		0.00		16.33	match	match	match	match
Protaetia cuprea	3	3	monophyletic		0.46		13.78	match	match	match	match
Protaetia marmorata	3	1	monophyletic		0.00		12.20	match	match	match	match
Proteinus brachypterus	5	5	monophyletic		1.70	1.23	13.72	match	match	match	match
Proteinus laevigatus	1	1	monophyletic		N/A		13.72	match	match	match	match
Psammodius asper	1	1	monophyletic		N/A		15.36	match	match	match	match
Psammoecus bipunctatus	3	1	monophyletic		0.00		16.70	match	match	match	match
Pselaphus heisei	5	3	monophyletic		0.61		14.18	match	match	match	match
Pseudocistela ceramboides	1	1	monophyletic		N/A		15.62	match	match	match	match
Pseudovadonia livida	6	2	monophyletic		2.33	2.15	15.56	split	split	match	split
Psylliodes affinis	14	5	monophyletic		0.46		17.04	match	match	match	match
Psylliodes crambicola	6	1	monophyletic		0.00		3.28	match	match	match	match
Psylliodes dulcamarae	5	3	monophyletic		1.95	1.70	15.55	split	match	match	split
Psylliodes marcidus	2	1	monophyletic		0.00		3.28	match	match	match	match
Psylliodes napi	13	3	monophyletic		1.28		13.53	match	match	match	match
Psyllobora vigintiduopunctata	3	3	monophyletic		1.07		13.00	match	match	match	match
Ptenidium formicetorum	2	2	monophyletic		0.92		12.28	match	match	match	match
Ptenidium nitidum	3	1	monophyletic		0.00		16.61	match	match	match	match
Ptenidium punctatum	1	1	monophyletic		N/A		14.05	match	match	match	match
Ptenidium pusillum	1	1	monophyletic		N/A		12.28	match	match	match	match
Pteroloma forsstromii	3	2	monophyletic		0.15		12.75	match	match	match	match
Pterostichus adstrictus	5	2	paraphyletic	Pterostichus oblongopunctatus	0.15		0.00	merge	merge	merge	merge
Pterostichus aethiops	1	1	monophyletic		N/A		6.25	match	match	match	match
Pterostichus crenatus	5	3	monophyletic		0.30		9.21	match	match	match	match
Pterostichus diligens	7	4	monophyletic		0.46		4.22	match	match	match	match
Pterostichus melanarius	3	3	monophyletic		0.61		6.25	match	match	split	match
Pterostichus minor	5	4	monophyletic		0.77		5.88	match	match	match	match
Pterostichus niger	5	2	monophyletic		0.64		10.08	match	match	match	match
Pterostichus nigrita	4	1	monophyletic		0.15		0.15	merge	merge	merge	merge
Pterostichus oblongopunctatus	4	1	monophyletic		0.00		0.00	merge	merge	merge	merge
Pterostichus rhaeticus	2	2	paraphyletic	Pterostichus nigrita	1.70	1.70	1.38	merge	merge	merge	merge
Pterostichus strenuus	3	3	monophyletic		0.31		4.22	match	match	match	match
Pteryx suturalis	1	1	monophyletic		N/A		14.22	match	match	match	match
Ptilinus fuscus	3	2	monophyletic		0.46		17.81	match	match	match	match
Ptiliola kunzei	2	2	monophyletic		6.20	6.20	13.09	split	split	split	split
Ptiliolum sahlbergi	2	1	monophyletic		0.00		12.91	match	match	match	match
Ptilium exaratum	2	2	monophyletic		12.82	12.82	14.57	split	split	split	split
Ptinus rufipes	3	1	monophyletic		0.00		19.27	match	match	match	match
Ptinus subpillosus	1	1	monophyletic		N/A		9.92	match	match	match	match
Ptinus villiger	2	2	monophyletic		0.31		9.92	match	match	match	match
Purpuricenus kaehleri	1	1	monophyletic		N/A		20.30	match	match	match	match
Pycnoglypta lurida	2	2	monophyletic		1.23		11.30	match	match	match	match
Pyrochroa coccinea	1	1	monophyletic		N/A		11.25	match	match	match	match
Pyrrhalta viburni	4	2	monophyletic		0.15		10.86	match	match	match	match
Pytho depressus	3	3	monophyletic		0.92		10.11	match	match	match	match
Pytho kolwensis	3	2	monophyletic		0.15		10.11	match	match	match	match
Quedius boopoides	6	3	paraphyletic	Quedius fulvicollis	2.17	1.65	1.23	merge	merge	mixture	merge
Quedius boops	3	3	monophyletic		1.08		10.75	match	match	match	match
Quedius brevicornis	2	2	monophyletic		0.15		12.79	match	match	match	match
Quedius brevis	1	1	monophyletic		N/A		12.79	match	match	match	match
Quedius cinctus	2	2	monophyletic		1.54	1.54	12.42	match	match	match	match
Quedius cruentus	1	1	monophyletic		N/A		9.11	match	match	match	match
Quedius curtipennis	1	1	monophyletic		N/A		6.71	match	match	match	match
Quedius fellmani	5	1	monophyletic		0.00		0.92	merge	merge	merge	merge
Quedius fuliginosus	3	2	monophyletic		0.16		6.71	match	match	match	match
Quedius fulvicollis	2	1	monophyletic		0.00		1.23	merge	merge	mixture	merge
Quedius levicollis	1	1	monophyletic		N/A		8.56	match	match	match	match
Quedius limbatus	2	2	monophyletic		0.46		11.96	match	match	match	match
Quedius lundbergi	3	1	monophyletic		0.00		12.59	match	match	match	match
Quedius maurus	3	1	monophyletic		0.00		6.25	match	match	match	match
Quedius mesomelinus	2	2	monophyletic		4.18	4.18	6.25	match	split	split	split
Quedius molochinus	1	1	monophyletic		N/A		13.33	match	match	match	match
Quedius nitipennis	4	2	monophyletic		0.15		0.92	merge	merge	merge	merge
Quedius plagiatus	1	1	monophyletic		N/A		13.02	match	match	match	match
Quedius pseudolimbatus	1	1	monophyletic		N/A		11.96	match	match	match	match
Quedius scitus	2	1	monophyletic		0.00		10.79	match	match	match	match
Quedius sp.	1	1	monophyletic		N/A		7.22	match	match	match	match
Quedius tenellus	1	1	monophyletic		N/A		10.79	match	match	match	match
Quedius umbrinus	1	1	monophyletic		N/A		14.35	match	match	match	match
Quedius xanthopus	2	1	monophyletic		0.00		13.23	match	match	match	match
Rabocerus foveolatus	1	1	monophyletic		N/A		17.03	match	match	match	match
Rhacopus sahlbergi	1	1	monophyletic		N/A		21.14	match	match	match	match
Rhagium inquisitor	3	2	monophyletic		0.15		11.14	match	match	match	match
Rhagium mordax	5	3	monophyletic		0.46		11.14	match	match	match	match
Rhagium sycophanta	1	1	monophyletic		N/A		14.57	match	match	match	match
Rhagonycha atra	3	1	monophyletic		0.00		9.22	match	match	match	match
Rhagonycha elongata	2	2	monophyletic		0.76		9.22	match	match	match	match
Rhagonycha fulva	3	2	monophyletic		0.16		8.36	match	match	match	match
Rhagonycha lignosa	5	1	monophyletic		0.00		8.36	match	match	match	match
Rhagonycha lutea	1	1	monophyletic		N/A		9.75	match	match	match	match
Rhagonycha nigriventris	5	3	monophyletic		0.46		9.83	match	match	match	match
Rhagonycha testacea	2	2	monophyletic		1.08		9.83	match	match	match	match
Rhamphus oxyacanthae	3	2	monophyletic		0.46		14.59	match	match	match	match
Rhamphus pulicarius	6	2	monophyletic		7.77	6.94	14.59	split	split	split	split
Rhantus exsoletus	6	4	monophyletic		0.81		6.41	match	match	match	match
Rhantus frontalis	5	4	monophyletic		0.49		10.53	match	match	match	match
Rhantus grapii	2	2	monophyletic		1.54	1.54	10.98	match	match	match	match
Rhantus suturalis	1	1	monophyletic		N/A		9.64	match	match	match	match
Rhantus suturellus	3	3	monophyletic		6.57	3.62	6.41	split	split	split	split
Rhinocyllus conicus	2	1	monophyletic		0.00		19.59	match	match	match	match
Rhinoncus bruchoides	4	4	monophyletic		0.47		12.23	match	match	match	match
Rhinoncus castor	12	4	monophyletic		0.46		12.23	match	match	match	match
Rhinoncus inconspectus	2	1	monophyletic		0.00		16.96	match	match	match	match
Rhinoncus pericarpius	15	7	monophyletic		2.97	2.65	14.46	match	split	match	match
Rhinoncus perpendicularis	4	1	monophyletic		0.00		16.35	match	match	match	match
Rhinusa antirrhini	2	2	monophyletic		16.72	16.72	23.23	split	split	split	split
Rhizophagus bipustulatus	2	2	monophyletic		0.16		16.38	match	match	match	match
Rhizophagus depressus	1	1	monophyletic		N/A		11.32	match	match	match	match
Rhizophagus dispar	4	1	monophyletic		0.00		14.20	match	match	match	match
Rhizophagus fenestralis	2	2	monophyletic		0.81		14.20	match	match	match	match
Rhizophagus grandis	1	1	monophyletic		N/A		11.32	match	match	match	match
Rhizophagus picipes	2	2	monophyletic		0.64		14.33	match	match	match	match
Rhynchaenus iota	2	2	monophyletic		0.15		18.79	match	match	match	match
Rhynchaenus lonicerae	2	2	monophyletic		1.23		18.80	match	match	match	match
Rhynchaenus rusci	3	2	monophyletic		3.19	3.12	18.56	match	split	split	split
Rhynchaenus testaceus	2	2	monophyletic		0.46		18.56	match	match	match	match
Rhynchites cupreus	4	2	monophyletic		0.15		17.76	match	match	match	match
Rhyncolus ater	4	2	monophyletic		1.54	1.47	23.11	match	match	match	match
Ropalodontus strandi	1	1	monophyletic		N/A		19.85	match	match	match	match
Ropalopus femoratus	1	1	monophyletic		N/A		17.46	match	match	match	match
Rugilus fragilis	1	1	monophyletic		N/A		11.87	match	match	match	match
Rugilus orbiculatus	4	3	monophyletic		1.70	1.39	11.87	match	split	match	match
Rugilus rufipes	5	2	monophyletic		0.15		14.81	match	match	match	match
Rutidosoma globulus	3	3	monophyletic		1.85	1.85	17.50	match	match	match	match
Rybaxis laminata	2	2	monophyletic		0.15		0.00	merge	merge	merge	merge
Rybaxis longicornis	7	2	paraphyletic	Rybaxis laminata	1.23		0.00	merge	merge	merge	merge
Salpingus planirostris	2	2	monophyletic		0.61		16.24	match	match	match	match
Salpingus ruficollis	1	1	monophyletic		N/A		18.09	match	match	match	match
Saperda carcharias	3	2	monophyletic		0.15		14.64	match	match	match	match
Saperda perforata	10	4	monophyletic		0.61		15.48	match	match	match	match
Saperda scalaris	10	4	monophyletic		1.08		14.95	match	match	match	match
Scaphidium quadrimaculatum	5	2	monophyletic		0.49		14.74	match	match	match	match
Scaphisoma agaricinum	4	1	monophyletic		0.00		14.93	match	match	match	match
Scaphisoma subalpinum	2	1	monophyletic		0.00		15.50	match	match	match	match
Scarodytes halensis	2	1	monophyletic		0.00		12.03	match	match	match	match
Schistoglossa aubei	1	1	monophyletic		N/A		13.02	match	match	match	match
Schistoglossa curtipennis	2	2	monophyletic		0.17		13.59	match	match	match	match
Schistoglossa gemina	1	1	monophyletic		N/A		13.69	match	match	match	match
Schistoglossa viduata	1	1	monophyletic		N/A		13.27	match	match	match	match
Schizotus pectinicornis	3	1	monophyletic		0.00		11.25	match	match	match	match
Sciaphilus asperatus	4	4	monophyletic		0.46		18.25	match	match	match	match
Sciodrepoides alpestris	1	1	monophyletic		N/A		11.31	match	match	match	match
Sciodrepoides fumatus	1	1	monophyletic		N/A		11.31	match	match	match	match
Sciodrepoides watsoni	2	2	monophyletic		0.15		15.49	match	match	match	match
Scolytus intricatus	1	1	monophyletic		N/A		19.89	match	match	match	match
Scolytus ratzeburgii	2	2	monophyletic		2.23	2.23	21.62	match	match	match	match
Scopaeus laevigatus	2	2	monophyletic		0.61		17.03	match	match	match	match
Scraptia fuscula	1	1	monophyletic		N/A		16.23	match	match	match	match
Scymnus frontalis	1	1	monophyletic		N/A		5.70	match	match	match	match
Scymnus haemorrhoidalis	3	1	monophyletic		0.00		14.12	match	match	match	match
Scymnus nigrinus	4	2	monophyletic		0.16		14.81	match	match	match	match
Scymnus schmidti	1	1	monophyletic		N/A		5.70	match	match	match	match
Scymnus suturalis	1	1	monophyletic		N/A		15.04	match	match	match	match
Selatosomus aeneus	2	1	monophyletic		0.00		16.21	match	match	match	match
Selatosomus cruciatus	3	1	monophyletic		0.00		15.36	match	match	match	match
Selatosomus impressus	4	2	monophyletic		1.85	1.85	17.14	match	split	match	match
Selatosomus melancholicus	3	3	monophyletic		12.36	11.44	15.36	split	split	split	split
Sepedophilus littoreus	4	3	monophyletic		0.64		14.13	match	match	match	match
Sepedophilus marshami	4	2	monophyletic		0.61		12.69	match	match	match	match
Sepedophilus pedicularius	2	2	monophyletic		0.15		13.29	match	match	match	match
Sepedophilus testaceus	1	1	monophyletic		N/A		12.69	match	match	match	match
Serica brunnea	2	1	monophyletic		0.00		17.15	match	match	match	match
Sericoderus lateralis	1	1	monophyletic		N/A		14.56	match	match	match	match
Sericus brunneus	2	2	monophyletic		0.15		16.67	match	match	match	match
Sibinia viscariae	2	1	monophyletic		0.00		15.13	match	match	match	match
Silis ruficollis	3	1	monophyletic		0.00		14.95	match	match	match	match
Silpha carinata	4	3	monophyletic		1.39		13.83	match	match	match	match
Silpha tristis	2	1	monophyletic		0.00		9.96	match	match	match	match
Silvanoprus fagi	2	2	monophyletic		0.15		18.45	match	match	match	match
Silvanus bidentatus	2	1	monophyletic		0.00		18.45	match	match	match	match
Sinodendron cylindricum	1	1	monophyletic		N/A		17.24	match	match	match	match
Sirocalodes depressicollis	2	2	monophyletic		0.15		15.52	match	match	match	match
Sitona ambiguus	1	1	monophyletic		N/A		12.93	match	match	match	match
Sitona hispidulus	2	1	monophyletic		0.00		15.70	match	match	match	match
Sitona lepidus	4	3	monophyletic		3.79	3.75	16.13	match	split	split	split
Sitona lineellus	3	2	monophyletic		1.23		12.93	match	split	match	match
Sitona sulcifrons	1	1	monophyletic		N/A		18.95	match	match	match	match
Sitona suturalis	1	1	monophyletic		N/A		14.56	match	match	match	match
Sitophilus oryzae	1	1	monophyletic		N/A		19.13	match	match	match	match
Smaragdina affinis	2	2	monophyletic		0.15		9.68	match	match	match	match
Smaragdina flavicollis	1	1	monophyletic		N/A		9.68	match	match	match	match
Smaragdina salicina	4	2	monophyletic		1.54	1.54	10.53	match	split	match	match
Smicrus filicornis	1	1	monophyletic		N/A		14.00	match	match	match	match
Sospita vigintiguttata	1	1	monophyletic		N/A		9.95	match	match	match	match
Spavius glaber	2	2	monophyletic		1.70	1.70	16.37	match	match	match	match
Sphaeridium lunatum	3	1	monophyletic		0.00		6.85	match	match	match	match
Sphaeridium scarabaeoides	1	1	monophyletic		N/A		6.85	match	match	match	match
Sphaeriestes stockmanni	2	2	monophyletic		0.15		16.63	match	match	match	match
Sphaeroderma testaceum	2	2	monophyletic		3.44	3.44	17.82	match	split	split	split
Sphaerosoma pilosum	1	1	monophyletic		N/A		15.49	match	match	match	match
Sphindus dubius	2	2	monophyletic		3.28	3.28	20.26	match	match	split	split
Spondylis buprestoides	4	2	monophyletic		1.27		16.39	match	match	match	match
Stagetus borealis	1	1	monophyletic		N/A		15.58	match	match	match	match
Staphylinus caesareus	1	1	monophyletic		N/A		15.81	match	match	match	match
Stenagostus rhombeus	1	1	monophyletic		N/A		16.33	match	match	match	match
Stenichnus collaris	3	3	monophyletic		1.23		17.56	match	match	match	match
Stenocorus meridianus	3	1	monophyletic		0.00		15.48	match	match	match	match
Stenolophus mixtus	2	2	monophyletic		0.46		10.58	match	match	match	match
Stenostola dubia	3	1	monophyletic		0.00		14.64	match	match	match	match
Stenotrachelus aeneus	4	2	monophyletic		0.15		14.94	match	match	match	match
Stenus argus	1	1	monophyletic		N/A		8.61	match	match	match	match
Stenus assequens	1	1	monophyletic		N/A		15.19	match	match	match	match
Stenus atratulus	2	2	monophyletic		0.30		14.39	match	match	match	match
Stenus bifoveolatus	6	1	monophyletic		0.00		15.33	match	match	match	match
Stenus biguttatus	3	1	monophyletic		0.00		14.61	match	match	match	match
Stenus bilineatus	1	1	monophyletic		N/A		14.40	match	match	match	match
Stenus bimaculatus	1	1	monophyletic		N/A		12.79	match	match	match	match
Stenus binotatus	1	1	monophyletic		N/A		15.32	match	match	match	match
Stenus bohemicus	3	1	monophyletic		0.00		7.58	match	match	match	match
Stenus boops	2	2	monophyletic		0.30		10.09	match	match	match	match
Stenus canaliculatus	3	3	monophyletic		0.46		16.47	match	match	match	match
Stenus carbonarius	4	1	monophyletic		0.00		13.89	match	match	match	match
Stenus cicindeloides	5	4	monophyletic		0.31		15.73	match	match	match	match
Stenus clavicornis	5	4	monophyletic		0.93		10.80	match	match	match	match
Stenus comma	3	2	monophyletic		0.77		14.57	match	match	match	match
Stenus crassus	1	1	monophyletic		N/A		13.36	match	match	match	match
Stenus excubitor	2	2	paraphyletic	Stenus morio	13.68	13.68	12.65	split	split	split	split
Stenus flavipes	5	4	monophyletic		0.92		15.88	match	match	match	match
Stenus formicetorum	2	2	paraphyletic	Stenus intermedius	1.38		0.46	merge	merge	merge	merge
Stenus fuscipes	2	2	monophyletic		0.30		8.61	match	match	match	match
Stenus geniculatus	5	2	monophyletic		0.15		10.26	match	match	match	match
Stenus incrassatus	6	4	monophyletic		0.92		11.21	match	match	match	match
Stenus intermedius	3	1	monophyletic		0.00		0.46	merge	merge	merge	merge
Stenus juno	4	4	monophyletic		2.01	1.69	10.80	match	split	split	match
Stenus labilis	1	1	monophyletic		N/A		13.03	match	match	match	match
Stenus melanarius	2	2	monophyletic		1.23		10.09	match	match	match	match
Stenus morio	1	1	monophyletic		N/A		12.65	match	match	match	match
Stenus nigritulus	1	1	monophyletic		N/A		17.09	match	match	match	match
Stenus nitens	7	7	monophyletic		2.17	1.69	13.03	match	match	split	split
Stenus niveus	2	2	monophyletic		0.15		15.39	match	match	match	match
Stenus palposus	2	1	monophyletic		0.00		12.94	match	match	match	match
Stenus palustris	6	4	monophyletic		0.61		10.26	match	match	match	match
Stenus similis	3	3	monophyletic		0.30		14.57	match	match	match	match
Stenus strandi	5	4	monophyletic		0.46		10.43	match	match	match	match
Stenus sylvester	1	1	monophyletic		N/A		12.79	match	match	match	match
Stenus tarsalis	2	1	monophyletic		0.00		7.58	match	match	match	match
Stenus umbratilis	4	1	monophyletic		0.00		16.86	match	match	match	match
Stephanopachys linearis	2	2	monophyletic		0.15		22.38	match	match	match	match
Stephostethus lardarius	4	4	monophyletic		1.29		15.91	match	match	match	match
Stephostethus pandellei	2	1	monophyletic		0.00		13.92	match	match	match	match
Stephostethus variolosus	4	4	monophyletic		1.45	1.23	13.92	match	match	match	match
Stereonychus fraxini	1	1	monophyletic		N/A		17.25	match	match	match	match
Stethorus pusillus	1	1	monophyletic		N/A		20.58	match	match	match	match
Stictotarsus griseostriatus	4	1	monophyletic		0.00		14.13	match	match	match	match
Stilbus atomarius	3	3	monophyletic		0.61		13.27	match	match	match	match
Stilbus oblongus	2	2	monophyletic		0.46		13.27	match	match	match	match
Stomis pumicatus	1	1	monophyletic		N/A		10.96	match	match	match	match
Stricticollis tobias	2	1	monophyletic		0.00		14.03	match	match	match	match
Strophosoma capitatum	8	4	monophyletic		2.64	2.48	17.03	split	split	match	match
Strophosoma melanogrammum	2	1	monophyletic		0.00		17.03	match	match	match	match
Sulcacis fronticornis	1	1	monophyletic		N/A		18.16	match	match	match	match
Sulcacis nitidus	3	3	monophyletic		0.46		19.38	match	match	match	match
Syneta betulae	2	2	monophyletic		0.15		17.89	match	match	match	match
Syntomus foveatus	2	2	monophyletic		0.15		8.92	match	match	match	match
Syntomus truncatellus	6	5	monophyletic		1.25		8.92	match	match	match	match
Synuchus vivalis	2	1	monophyletic		0.00		12.55	match	match	match	match
Tachinus basalis	1	1	monophyletic		N/A		12.57	match	match	match	match
Tachinus corticinus	1	1	monophyletic		N/A		9.60	match	match	match	match
Tachinus elegans	1	1	monophyletic		N/A		7.75	match	match	match	match
Tachinus elongatus	3	1	monophyletic		0.00		11.49	match	match	match	match
Tachinus laticollis	3	3	monophyletic		0.30		11.15	match	match	match	match
Tachinus lignorum	6	2	monophyletic		0.15		9.40	match	match	match	match
Tachinus marginatus	5	1	monophyletic		0.00		5.88	match	match	match	match
Tachinus marginellus	6	2	monophyletic		0.15		9.40	match	match	match	match
Tachinus pallipes	6	6	monophyletic		0.61		5.88	match	match	match	match
Tachinus proximus	6	5	monophyletic		1.86	1.54	12.08	match	match	match	match
Tachinus schneideri	1	1	monophyletic		N/A		14.44	match	match	match	match
Tachyerges salicis	2	2	monophyletic		2.65	2.65	17.84	match	split	split	split
Tachyerges stigma	3	2	monophyletic		0.30		17.46	match	match	match	match
Tachyporus abdominalis	3	1	monophyletic		0.16		8.13	match	match	match	match
Tachyporus chrysomelinus	5	4	monophyletic		7.29	6.39	6.65	split	split	split	split
Tachyporus nitidulus	1	1	monophyletic		N/A		9.22	match	match	match	match
Tachyporus obtusus	2	1	monophyletic		0.00		6.65	match	match	match	match
Tachyporus pallidus	4	1	monophyletic		0.00		7.19	match	match	match	match
Tachyporus pulchellus	5	4	monophyletic		4.59	4.42	8.69	match	split	split	split
Tachyporus pusillus	5	2	monophyletic		0.15		6.36	match	match	match	match
Tachyporus scitulus	5	4	monophyletic		1.12		6.36	match	match	match	match
Tachyporus solutus	2	1	monophyletic		0.00		8.54	match	match	match	match
Tachyporus sp.	1	1	monophyletic		N/A		6.35	match	match	match	match
Tachyta nana	5	1	monophyletic		0.00		11.47	match	match	match	match
Tachyura parvula	3	1	monophyletic		0.00		11.12	match	match	match	match
Tanysphyrus lemnae	3	3	monophyletic		0.96		20.55	match	match	match	match
Tapinotus sellatus	1	1	monophyletic		N/A		19.23	match	match	match	match
Tasgius melanarius	3	2	monophyletic		0.30		15.01	match	match	match	match
Telmatophilus schoenherrii	1	1	monophyletic		N/A		12.45	match	match	match	match
Telmatophilus typhae	1	1	monophyletic		N/A		12.45	match	match	match	match
Temnocerus nanus	5	2	monophyletic		0.32		12.44	match	match	match	match
Temnocerus tomentosus	3	2	monophyletic		0.30		12.44	match	match	match	match
Tenebrio molitor	2	1	monophyletic		0.00		19.05	match	match	match	match
Tetartopeus quadratus	1	1	monophyletic		N/A		1.08	merge	merge	merge	merge
Tetartopeus sphagnetorum	2	1	monophyletic		0.00		14.03	match	match	match	match
Tetartopeus terminatus	6	4	monophyletic		0.46		1.08	merge	merge	merge	merge
Tetartopeus zetterstedti	4	2	monophyletic		0.15		12.02	match	match	match	match
Tetratoma fungorum	1	1	monophyletic		N/A		17.24	match	match	match	match
Tetropium aquilonium	1	1	monophyletic		N/A		6.75	match	match	match	match
Tetropium castaneum	5	4	polyphyletic	"Tetropium aquilonium,Tetropium fuscum"	6.30	5.94	6.75	split	split	split	split
Tetropium fuscum	1	1	monophyletic		N/A		11.07	match	match	match	match
Tetrops praeusta	3	3	monophyletic		13.22	12.65	13.07	split	split	split	split
Tetrops starkii	2	2	monophyletic		0.76		14.06	match	match	match	match
Thanasimus femoralis	1	1	monophyletic		N/A		12.03	match	match	match	match
Thanasimus formicarius	5	4	monophyletic		2.81	2.28	12.03	match	split	split	match
Thanatophilus dispar	3	2	monophyletic		0.15		12.48	match	match	match	match
Thanatophilus lapponicus	2	2	monophyletic		0.31		11.69	match	match	match	match
Thanatophilus rugosus	3	2	monophyletic		0.16		12.48	match	match	match	match
Thanatophilus sinuatus	1	1	monophyletic		N/A		11.69	match	match	match	match
Thecturota marchii	1	1	monophyletic		N/A		12.79	match	match	match	match
Thinobius ciliatus	2	2	monophyletic		0.30		17.22	match	match	match	match
Thinonoma atra	3	2	monophyletic		0.15		14.47	match	match	match	match
Thryogenes festucae	3	2	monophyletic		0.15		19.47	match	match	match	match
Thymalus aubei	1	1	monophyletic		N/A		17.48	match	match	match	match
Tinotus morion	1	1	monophyletic		N/A		11.65	match	match	match	match
Tomicus piniperda	2	2	monophyletic		0.46		18.43	match	match	match	match
Tomoxia bucephala	3	2	monophyletic		2.94	2.80	23.04	match	split	match	split
Trachodes hispidus	4	3	monophyletic		3.46	2.97	18.80	match	split	split	split
Trachyphloeus bifoveolatus	2	1	monophyletic		0.00		16.88	match	match	match	match
Trachyphloeus rectus	2	1	monophyletic		0.00		16.88	match	match	match	match
Trachys minutus	3	3	monophyletic		1.54	1.54	21.21	match	match	match	match
Trechus quadristriatus	5	3	monophyletic		0.30		11.91	match	match	match	match
Trechus rubens	3	1	monophyletic		0.00		10.10	match	match	match	match
Trechus secalis	2	2	monophyletic		0.17		10.10	match	match	match	match
Tribolium confusum	6	2	monophyletic		0.18		14.14	match	match	match	match
Trichius fasciatus	2	2	monophyletic		1.02		15.12	match	match	match	match
Trichophya pilicornis	1	1	monophyletic		N/A		12.05	match	match	match	match
Trichosirocalus troglodytes	3	3	monophyletic		1.70	1.69	16.85	match	match	match	match
Trimium brevicorne	1	1	monophyletic		N/A		21.50	match	match	match	match
Triplax aenea	2	1	monophyletic		0.00		16.33	match	match	match	match
Triplax rufipes	2	2	monophyletic		0.30		17.40	match	match	match	match
Triplax russica	4	2	monophyletic		0.30		16.33	match	match	match	match
Tritoma bipustulata	2	2	monophyletic		0.30		19.64	match	match	match	match
Trixagus carinifrons	1	1	monophyletic		N/A		19.31	match	match	match	match
Trixagus dermestoides	5	3	monophyletic		0.30		19.31	match	match	match	match
Tropideres dorsalis	1	1	monophyletic		N/A		19.04	match	match	match	match
Tropiphorus elevatus	1	1	monophyletic		N/A		20.33	match	match	match	match
