Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Mycetoporus clavicornis	2	1	monophyletic		0.00		12.94	match	match	match	match	0	N/A
Mycetoporus monticola	1	1	monophyletic		N/A		9.13	match	match	match	match	0	N/A
Mycetoporus tenuis	1	1	monophyletic		N/A		9.13	match	match	match	match	0	N/A
Mylabris sp.	1	1	monophyletic		N/A		21.04	match	match	match	match	0	N/A
Myllaena dubia	1	1	monophyletic		N/A		16.86	match	match	match	match	0	N/A
Myllaena intermedia	3	3	monophyletic		4.26	4.10	14.75	match	split	split	split	531.75	127.18
Myllaena minuta	1	1	monophyletic		N/A		15.14	match	match	match	match	0	N/A
Myrmechixenus subterraneus	1	1	monophyletic		N/A		4.70	merge	match	match	match	0	N/A
Myrmechixenus vaporariorum	1	1	monophyletic		N/A		4.70	merge	match	match	match	0	N/A
Myrmecocephalus concinnus	3	2	monophyletic		0.15		15.10	match	match	match	match	1.89	1.64
Myrrha octodecimguttata	2	2	monophyletic		2.09	2.09	9.95	match	split	match	split	0	N/A
Myzia oblongoguttata	2	2	monophyletic		0.46		11.79	match	match	match	match	0	N/A
Nanophyes marmoratus	4	2	monophyletic		0.15		17.47	match	match	match	match	125.72	77.99
Nebria brevicollis	5	2	monophyletic		0.15		12.91	match	match	match	match	101.24	84.38
Nebria livida	3	1	monophyletic		0.00		12.99	match	match	match	match	0.00	0.00
Nebria nivalis	3	2	monophyletic		0.15		8.24	match	match	match	match	0.71	0.62
Nebria rufescens	1	1	monophyletic		N/A		8.24	match	match	match	match	0	N/A
Nebrioporus depressus	5	4	monophyletic		0.80		12.74	match	match	match	match	141.75	116.06
Necrobia violacea	5	5	monophyletic		1.38		11.96	match	match	match	match	95.50	58.71
Necrodes littoralis	3	3	monophyletic		0.92		12.19	match	match	match	match	367.03	152.33
Necydalis major	4	4	monophyletic		0.31		17.43	match	match	match	match	312.26	218.27
Nedyus quadrimaculatus	6	6	monophyletic		3.30	1.71	17.44	match	match	match	match	500.71	233.01
Negastrius sp.	2	1	monophyletic		0.00		17.42	match	match	match	match	0	N/A
Nehemitropia lividipennis	1	1	monophyletic		N/A		15.14	match	match	match	match	0	N/A
Neocoenorrhinus aequatus	2	1	monophyletic		0.00		16.81	match	match	match	match	0	N/A
Neocoenorrhinus germanicus	5	3	monophyletic		1.38		17.80	match	match	match	match	352.10	301.03
Neocrepidodera femorata	1	1	monophyletic		N/A		16.82	match	match	match	match	0	N/A
Neocrepidodera ferruginea	4	2	monophyletic		0.15		16.28	match	match	match	match	254.93	174.53
Neocrepidodera motschulskii	1	1	monophyletic		N/A		17.79	match	match	match	match	0	N/A
Neocrepidodera nigritula	3	1	monophyletic		0.00		15.32	match	match	match	match	56.74	49.14
Neocrepidodera sp.1	1	1	monophyletic		N/A		16.89	match	match	match	match	0	N/A
Nephus redtenbacheri	1	1	monophyletic		N/A		18.39	match	match	match	match	0	N/A
Nevraphes angulatus	1	1	monophyletic		N/A		17.97	match	match	match	match	0	N/A
Nicrophorus investigator	2	2	monophyletic		0.46		10.77	match	match	match	match	0	N/A
Nicrophorus vespilloides	3	3	monophyletic		1.23		10.77	match	match	match	match	276.85	227.44
Nitidula bipunctata	1	1	monophyletic		N/A		12.78	match	match	match	match	0	N/A
Nitidula rufipes	4	2	monophyletic		0.15		12.78	match	match	match	match	0.00	0.00
Nivellia sanguinosa	1	1	monophyletic		N/A		14.92	match	match	match	match	0	N/A
Notaris acridulus	6	3	monophyletic		0.61		12.21	match	match	match	match	365.95	240.99
Notaris aethiops	1	1	monophyletic		N/A		21.66	match	match	match	match	0	N/A
Notaris scirpi	2	2	monophyletic		0.16		12.21	match	match	match	match	0	N/A
Noterus clavicornis	2	1	monophyletic		0.00		11.49	match	match	match	match	0	N/A
Noterus crassicornis	2	2	monophyletic		0.15		11.49	match	match	match	match	0	N/A
Notiophilus aestuans	1	1	monophyletic		N/A		8.58	match	match	match	match	0	N/A
Notiophilus aquaticus	6	4	monophyletic		0.46		8.58	match	match	match	match	538.49	292.96
Notiophilus biguttatus	2	1	monophyletic		0.00		10.51	match	match	match	match	0	N/A
Notiophilus germinyi	3	3	monophyletic		3.76	3.76	10.03	split	split	split	split	226.73	89.83
Notiophilus palustris	3	2	monophyletic		0.15		9.00	match	match	match	match	558.73	393.44
Notothecta flavipes	1	1	monophyletic		N/A		5.08	match	match	match	match	0	N/A
Notoxus monoceros	7	3	monophyletic		0.30		16.24	match	match	match	match	392.82	235.91
Nudobius lentus	4	2	monophyletic		0.15		13.30	match	match	match	match	214.77	209.00
Oberea oculata	2	2	monophyletic		0.15		13.16	match	match	match	match	0	N/A
Ocalea picata	7	3	monophyletic		0.30		11.30	match	match	match	match	172.81	145.78
Ochthebius marinus	1	1	monophyletic		N/A		13.27	match	match	match	match	0	N/A
Ochthebius minimus	7	4	monophyletic		0.48		13.81	match	match	match	match	179.72	266.74
Ochthephilum collare	2	2	monophyletic		0.46		7.78	match	match	match	match	0	N/A
Ochthephilum fracticorne	4	4	monophyletic		2.30	1.76	7.78	match	match	match	match	292.94	154.10
Ocypus fuscatus	1	1	monophyletic		N/A		12.24	match	match	match	match	0	N/A
Ocypus nitens	1	1	monophyletic		N/A		12.24	match	match	match	match	0	N/A
Ocypus ophthalmicus	3	3	monophyletic		0.46		13.47	match	match	match	match	415.87	165.05
Ocyusa maura	3	1	monophyletic		0.00		8.55	match	match	match	match	147.19	127.47
Ocyusa picina	2	2	monophyletic		0.30		9.22	match	match	match	match	0	N/A
Odacantha melanura	3	3	monophyletic		1.42	1.08	12.91	match	match	match	match	103.88	89.52
Oedemera croceicollis	3	1	monophyletic		0.00		17.32	match	match	match	match	0.00	0.00
Oedemera femorata	3	2	monophyletic		1.38		12.58	match	match	match	match	405.01	350.20
Oedemera lurida	5	2	monophyletic		0.15		9.08	match	match	match	match	183.07	213.80
Oedemera subrobusta	5	2	monophyletic		0.31		8.55	match	match	match	match	229.47	151.31
Oedemera virescens	3	2	monophyletic		0.76		8.55	match	match	match	match	530.16	271.59
Oiceoptoma thoracicum	2	2	monophyletic		0.15		14.25	match	match	match	match	0	N/A
Olibrus aeneus	2	1	monophyletic		0.00		2.60	mixture	match	match	mixture	0	N/A
Olibrus bimaculatus	2	2	monophyletic		0.46		10.84	match	match	match	match	0	N/A
Olibrus millefolii	4	4	paraphyletic	Olibrus aeneus	7.20	6.43	2.60	mixture	split	split	mixture	412.30	217.82
Olibrus norvegicus	2	1	monophyletic		0.00		10.84	match	match	match	match	0	N/A
Oligota pusillima	1	1	monophyletic		N/A		14.00	match	match	match	match	0	N/A
Oligota sp.	1	1	monophyletic		N/A		14.00	match	match	match	match	0	N/A
Olisthaerus megacephalus	1	1	monophyletic		N/A		13.30	match	match	match	match	0	N/A
Olisthopus rotundatus	3	2	monophyletic		0.15		9.03	match	match	match	match	3.36	2.91
Olophrum assimile	5	4	monophyletic		0.46		12.93	match	match	match	match	352.46	244.36
Olophrum boreale	3	3	monophyletic		0.92		8.56	match	match	match	match	174.25	142.56
Olophrum consimile	4	4	monophyletic		0.92		7.88	match	match	match	match	215.28	72.09
Olophrum fuscum	1	1	monophyletic		N/A		7.88	match	match	match	match	0	N/A
Olophrum rotundicolle	4	3	monophyletic		0.46		8.80	match	match	match	match	223.27	136.92
Omalium littorale	3	2	monophyletic		0.15		8.71	match	match	match	match	0.00	0.00
Omalium riparium	3	2	monophyletic		0.46		8.73	match	match	match	match	16.02	13.87
Omalium rivulare	7	1	monophyletic		0.00		9.58	match	match	match	match	425.09	320.34
Omalium rugatum	3	3	monophyletic		1.07		10.44	match	match	match	match	63.75	55.21
Omalium septentrionis	2	1	monophyletic		0.00		8.71	match	match	match	match	0	N/A
Omalium strigicolle	1	1	monophyletic		N/A		8.71	match	match	match	match	0	N/A
Omonadus floralis	2	2	monophyletic		2.48	2.48	13.11	match	match	split	split	0	N/A
Omosita colon	5	1	monophyletic		0.00		15.12	match	match	match	match	94.86	75.40
Ontholestes murinus	2	1	monophyletic		0.00		14.83	match	match	match	match	0	N/A
Oodes helopioides	4	4	monophyletic		0.92		11.84	match	match	match	match	386.24	164.84
Opatrum riparium	2	2	paraphyletic	Opatrum sabulosum	2.65	2.65	0.18	merge	mixture	merge	merge	0	N/A
Opatrum sabulosum	1	1	monophyletic		N/A		0.18	merge	mixture	merge	merge	0	N/A
Ophonus rufibarbis	4	3	monophyletic		0.30		5.03	match	match	match	match	130.82	79.34
Oplosia cinerea	3	2	monophyletic		0.15		15.72	match	match	match	match	14.34	9.57
Orchesia fasciata	2	2	monophyletic		0.46		12.39	match	match	match	match	0	N/A
Orchesia micans	1	1	monophyletic		N/A		12.39	match	match	match	match	0	N/A
Orectochilus villosus	1	1	monophyletic		N/A		13.28	match	match	match	match	0	N/A
Oreodytes alpinus	5	4	monophyletic		0.46		13.56	match	match	match	match	248.54	152.06
Oreodytes septentrionalis	2	2	monophyletic		0.32		13.38	match	match	match	match	0	N/A
Orithales serraticornis	4	2	monophyletic		0.30		18.42	match	match	match	match	167.25	87.99
Orthocis alni	4	1	monophyletic		0.00		20.38	match	match	match	match	182.05	187.28
Orthoperus corticalis	1	1	monophyletic		N/A		14.24	match	match	match	match	0	N/A
Orthoperus rogeri	1	1	monophyletic		N/A		14.24	match	match	match	match	0	N/A
Orthotomicus laricis	1	1	monophyletic		N/A		20.11	match	match	match	match	0	N/A
Orthotomicus suturalis	1	1	monophyletic		N/A		20.16	match	match	match	match	0	N/A
Oryctes nasicornis	2	1	monophyletic		0.00		20.15	match	match	match	match	0	N/A
Oryzaephilus surinamensis	4	1	monophyletic		0.00		21.37	match	match	match	match	708.77	549.01
Ostoma ferruginea	1	1	monophyletic		N/A		17.72	match	match	match	match	0	N/A
Othius angustus	1	1	monophyletic		N/A		13.63	match	match	match	match	0	N/A
Othius lapidicola	1	1	monophyletic		N/A		13.76	match	match	match	match	0	N/A
Othius punctulatus	3	2	monophyletic		0.15		15.17	match	match	match	match	387.22	335.34
Othius subuliformis	1	1	monophyletic		N/A		14.73	match	match	match	match	0	N/A
Otiorhynchus arcticus	2	1	monophyletic		0.00		18.71	match	match	match	match	0	N/A
Otiorhynchus ligustici	3	2	monophyletic		0.15		18.15	match	match	match	match	82.35	48.38
Otiorhynchus nodosus	2	1	monophyletic		0.00		16.86	match	match	match	match	0	N/A
Otiorhynchus ovatus	3	3	monophyletic		2.82	2.03	19.82	match	split	match	split	63.74	55.20
Otiorhynchus porcatus	1	1	monophyletic		N/A		17.46	match	match	match	match	0	N/A
Otiorhynchus raucus	1	1	monophyletic		N/A		19.16	match	match	match	match	0	N/A
Otiorhynchus scaber	2	1	monophyletic		0.00		20.46	match	match	match	match	0	N/A
Otiorhynchus singularis	2	1	monophyletic		0.00		20.46	match	match	match	match	0	N/A
Oulema erichsonii	1	1	monophyletic		N/A		0.92	mixture	mixture	mixture	mixture	0	N/A
Oulema melanopus	6	4	paraphyletic	Oulema erichsonii	9.22	8.65	0.92	mixture	mixture	mixture	mixture	317.50	279.35
Oulema obscura	4	3	monophyletic		0.61		17.47	match	match	match	match	286.76	176.98
Oulimnius tuberculatus	2	1	monophyletic		0.00		18.10	match	match	match	match	0	N/A
Oxymirus cursor	2	1	monophyletic		0.00		15.86	match	match	match	match	0	N/A
Oxyomus sylvestris	2	1	monophyletic		0.00		14.62	match	match	match	match	0	N/A
Oxypoda acuminata	2	1	monophyletic		0.00		8.55	match	match	match	match	0	N/A
Oxypoda advena	1	1	monophyletic		N/A		9.22	match	match	match	match	0	N/A
Oxypoda annularis	3	2	monophyletic		1.23		5.88	match	match	match	match	386.70	158.39
Oxypoda brevicornis	3	1	monophyletic		0.00		10.26	match	match	match	match	358.80	295.36
Oxypoda elongatula	1	1	monophyletic		N/A		8.28	match	match	match	match	0	N/A
Oxypoda flavicornis	1	1	monophyletic		N/A		5.88	match	match	match	match	0	N/A
Oxypoda funebris	4	2	monophyletic		0.15		5.53	match	match	match	match	166.80	182.72
Oxypoda islandica	1	1	monophyletic		N/A		9.41	match	match	match	match	0	N/A
Oxypoda nigricornis	2	2	monophyletic		0.17		10.61	match	match	match	match	0	N/A
Oxypoda opaca	5	3	monophyletic		0.77		13.05	match	match	match	match	355.11	235.55
Oxypoda procerula	2	1	monophyletic		0.00		5.53	match	match	match	match	0	N/A
Oxypoda skalitzkyi	1	1	monophyletic		N/A		8.02	match	match	match	match	0	N/A
Oxypoda soror	1	1	monophyletic		N/A		6.71	match	match	match	match	0	N/A
Oxypoda spectabilis	1	1	monophyletic		N/A		8.55	match	match	match	match	0	N/A
Oxypoda strandi	4	1	monophyletic		0.00		6.71	match	match	match	match	34.26	37.53
Oxypoda togata	2	1	monophyletic		0.00		14.37	match	match	match	match	0	N/A
Oxyporus rufus	1	1	monophyletic		N/A		14.90	match	match	match	match	0	N/A
Oxypselaphus obscurus	4	2	monophyletic		0.15		10.07	match	match	match	match	264.68	159.21
Oxytelus laqueatus	6	2	monophyletic		3.76	3.72	17.60	split	split	split	split	636.67	360.97
Oxytelus sculptus	2	2	monophyletic		0.61		14.59	match	match	match	match	0	N/A
Oxythyrea funesta	5	1	monophyletic		0.00		13.78	match	match	match	match	26.16	28.66
Pachnida nigella	1	1	monophyletic		N/A		14.48	match	match	match	match	0	N/A
Pachybrachis hieroglyphicus	3	1	monophyletic		0.00		22.89	match	match	match	match	135.56	32.16
Pachyta lamed	2	1	monophyletic		0.00		7.59	match	match	match	match	0	N/A
Pachyta quadrimaculata	5	5	monophyletic		0.92		7.59	match	match	match	match	42.10	34.20
Paederus fuscipes	3	2	monophyletic		0.46		12.69	match	match	match	match	52.80	45.73
Paederus riparius	3	3	monophyletic		0.46		12.69	match	match	match	match	387.18	335.31
Palorus depressus	1	1	monophyletic		N/A		15.55	match	match	match	match	0	N/A
Panagaeus cruxmajor	2	2	monophyletic		0.15		11.83	match	match	match	match	0	N/A
Paradromius linearis	6	3	monophyletic		0.92		11.13	match	match	match	match	115.78	68.20
Paranchus albipes	1	1	monophyletic		N/A		9.05	match	match	match	match	0	N/A
Patrobus assimilis	4	4	monophyletic		1.07		10.48	match	match	match	match	340.89	177.37
Patrobus atrorufus	3	2	monophyletic		0.30		8.04	match	match	match	match	2.17	1.88
Patrobus australis	1	1	monophyletic		N/A		0.48	merge	merge	merge	merge	0	N/A
Patrobus septentrionis	5	4	paraphyletic	Patrobus australis	0.92		0.48	merge	merge	merge	merge	160.45	129.97
Pediacus fuscus	1	1	monophyletic		N/A		15.48	match	match	match	match	0	N/A
Pedostrangalia pubescens	3	1	monophyletic		0.00		14.00	match	match	match	match	0.00	0.00
Pelenomus canaliculatus	1	1	monophyletic		N/A		16.31	match	match	match	match	0	N/A
Pelenomus quadrituberculatus	3	3	monophyletic		1.38		17.01	match	match	match	match	186.22	81.03
Pelophila borealis	1	1	monophyletic		N/A		12.60	match	match	match	match	0	N/A
Peltis grossa	3	2	monophyletic		0.16		17.01	match	match	match	match	613.47	438.62
Pentaphyllus testaceus	1	1	monophyletic		N/A		20.66	match	match	match	match	0	N/A
Phaedon cochleariae	3	2	monophyletic		0.15		14.18	match	match	match	match	414.58	359.04
Phaenops cyanea	5	2	monophyletic		0.30		14.76	match	match	match	match	178.46	87.40
Phalacrus caricis	3	1	monophyletic		0.00		18.58	match	match	match	match	526.55	78.02
Pheletes aeneoniger	4	1	monophyletic		0.00		16.42	match	match	match	match	674.80	353.85
Philonthus addendus	2	2	monophyletic		0.30		13.54	match	match	match	match	0	N/A
Philonthus albipes	6	3	monophyletic		3.76	3.60	15.29	split	split	split	split	718.84	411.23
Philonthus atratus	1	1	monophyletic		N/A		5.43	merge	match	match	match	0	N/A
Philonthus carbonarius	3	1	monophyletic		0.00		5.94	match	match	match	match	14.42	6.68
Philonthus cognatus	3	2	monophyletic		1.28		14.13	match	match	match	match	487.97	113.22
Philonthus debilis	5	3	monophyletic		0.46		16.15	match	match	match	match	329.79	204.03
Philonthus decorus	2	2	monophyletic		0.16		11.79	match	match	match	match	0	N/A
Philonthus discoideus	3	1	monophyletic		0.00		15.35	match	match	match	match	0.00	0.00
Philonthus marginatus	1	1	monophyletic		N/A		20.77	match	match	match	match	0	N/A
Philonthus micans	3	2	monophyletic		0.15		6.55	match	match	match	match	19.06	16.51
Philonthus micantoides	2	1	monophyletic		0.00		3.68	match	match	match	match	0	N/A
Philonthus nigrita	4	2	monophyletic		0.15		15.94	match	match	match	match	592.73	459.13
Philonthus nitidus	2	2	monophyletic		0.15		13.31	match	match	match	match	0	N/A
Philonthus politus	4	1	monophyletic		0.00		13.31	match	match	match	match	434.14	250.85
Philonthus quisquiliarius	9	4	monophyletic		3.06	2.63	14.88	split	split	split	split	188.21	184.04
Philonthus rectangulus	3	3	monophyletic		0.30		15.20	match	match	match	match	209.58	88.15
Philonthus rotundicollis	1	1	monophyletic		N/A		15.53	match	match	match	match	0	N/A
Philonthus rubripennis	4	1	monophyletic		0.00		3.68	match	match	match	match	45.61	49.97
Philonthus sanguinolentus	1	1	monophyletic		N/A		15.88	match	match	match	match	0	N/A
Philonthus splendens	2	1	monophyletic		0.00		11.79	match	match	match	match	0	N/A
Philonthus subvirescens	3	2	monophyletic		0.15		5.43	merge	match	match	match	180.47	156.29
Philonthus tenuicornis	5	1	monophyletic		0.00		13.61	match	match	match	match	241.70	243.69
Philonthus umbratilis	2	1	monophyletic		0.00		18.48	match	match	match	match	0	N/A
Philonthus varians	4	1	monophyletic		0.00		16.13	match	match	match	match	363.60	148.30
Philopedon plagiatum	7	3	monophyletic		1.28		15.25	match	match	match	match	116.65	94.25
Philorhizus notatus	5	2	monophyletic		0.15		5.58	match	match	match	match	174.37	128.67
Philorhizus sigma	4	2	monophyletic		0.61		5.58	match	match	match	match	415.91	157.84
Phloeonomus punctipennis	1	1	monophyletic		N/A		15.68	match	match	match	match	0	N/A
Phloeopora concolor	1	1	monophyletic		N/A		12.37	match	match	match	match	0	N/A
Phloeostiba plana	2	1	monophyletic		0.00		15.90	match	match	match	match	0	N/A
Phloeotribus spinulosus	1	1	monophyletic		N/A		17.06	match	match	match	match	0	N/A
Phosphuga atrata	4	2	monophyletic		1.38		11.70	match	match	match	match	484.76	196.82
Phratora atrovirens	1	1	monophyletic		N/A		9.22	match	match	match	match	0	N/A
Phratora laticollis	5	3	monophyletic		0.30		11.79	match	match	match	match	76.57	96.77
Phratora polaris	6	3	monophyletic		1.08		9.22	match	match	match	match	276.41	241.62
Phratora vitellinae	5	4	monophyletic		0.61		12.01	match	match	match	match	676.98	392.54
Phratora vulgatissima	1	1	monophyletic		N/A		9.69	match	match	match	match	0	N/A
Phyllobius argentatus	7	4	monophyletic		1.70	1.07	15.60	match	match	match	match	362.98	181.90
Phyllobius glaucus	1	1	monophyletic		N/A		9.34	match	match	match	match	0	N/A
Phyllobius maculicornis	3	3	monophyletic		2.80	2.80	15.60	match	split	match	match	622.33	307.61
Phyllobius oblongus	1	1	monophyletic		N/A		16.91	match	match	match	match	0	N/A
Phyllobius pomaceus	3	2	monophyletic		0.79		9.34	match	match	match	match	266.77	71.85
Phyllobius pyri	4	2	monophyletic		0.32		13.46	match	match	match	match	478.85	319.08
Phyllobius virideaeris	1	1	monophyletic		N/A		15.36	match	match	match	match	0	N/A
Phyllobius viridicollis	1	1	monophyletic		N/A		13.46	match	match	match	match	0	N/A
Phyllobrotica quadrimaculata	2	2	monophyletic		0.16		16.24	match	match	match	match	0	N/A
Phyllodrepa clavigera	1	1	monophyletic		N/A		13.47	match	match	match	match	0	N/A
Phyllodrepa linearis	1	1	monophyletic		N/A		12.73	match	match	match	match	0	N/A
Phyllodrepa melanocephala	2	2	monophyletic		2.80	2.80	16.62	match	split	split	split	0	N/A
Phyllodrepa sahlbergi	1	1	monophyletic		N/A		13.50	match	match	match	match	0	N/A
Phyllopertha horticola	3	1	monophyletic		0.00		15.46	match	match	match	match	611.28	433.04
Phyllotreta armoraciae	4	2	monophyletic		1.70	1.70	14.45	match	split	match	split	89.96	69.68
Phyllotreta atra	2	2	monophyletic		0.30		10.21	match	match	match	match	0	N/A
Phyllotreta nigripes	6	2	monophyletic		0.15		16.30	match	match	match	match	449.91	435.19
Phyllotreta striolata	3	3	monophyletic		1.39		15.22	match	match	match	match	549.69	120.97
Phyllotreta tetrastigma	1	1	monophyletic		N/A		16.80	match	match	match	match	0	N/A
Phyllotreta undulata	4	3	monophyletic		0.77		16.17	match	match	match	match	225.90	140.76
Phyllotreta vittula	5	2	monophyletic		0.16		10.21	match	match	match	match	233.11	150.90
Phymatodes testaceus	5	3	monophyletic		0.46		17.99	match	match	match	match	188.16	116.90
Phytobius leucogaster	1	1	monophyletic		N/A		16.31	match	match	match	match	0	N/A
Phytoecia nigricornis	1	1	monophyletic		N/A		13.16	match	match	match	match	0	N/A
Pissodes harcyniae	2	2	monophyletic		0.30		13.65	match	match	match	match	0	N/A
Pissodes pini	3	3	monophyletic		2.09	1.86	13.90	match	match	match	match	554.14	479.90
Pissodes piniphilus	1	1	monophyletic		N/A		13.65	match	match	match	match	0	N/A
Pissodes validirostris	5	3	monophyletic		3.49	3.30	13.90	split	split	match	split	317.60	254.64
Pityogenes bidentatus	3	3	monophyletic		1.54	1.08	17.08	match	match	match	match	650.58	360.66
Pityogenes chalcographus	2	2	monophyletic		2.17	2.17	17.08	match	split	match	match	0	N/A
Pityophagus ferrugineus	3	1	monophyletic		0.00		15.65	match	match	match	match	164.54	103.13
Pityophthorus glabratus	1	1	monophyletic		N/A		19.78	match	match	match	match	0	N/A
Pityophthorus micrographus	2	2	monophyletic		1.23		19.43	match	match	match	match	0	N/A
Placusa depressa	1	1	monophyletic		N/A		15.18	match	match	match	match	0	N/A
Placusa incompleta	1	1	monophyletic		N/A		6.90	match	match	match	match	0	N/A
Placusa tachyporoides	2	1	monophyletic		0.00		6.90	match	match	match	match	0	N/A
Plagiodera versicolora	3	1	monophyletic		0.00		16.80	match	match	match	match	318.97	276.03
Plagionotus arcuatus	3	2	monophyletic		0.16		3.59	merge	match	merge	match	0.00	0.00
Plagionotus detritus	1	1	monophyletic		N/A		3.59	merge	match	merge	match	0	N/A
Plagiosterna aenea	2	2	monophyletic		0.30		15.17	match	match	match	match	0	N/A
Platambus maculatus	3	3	monophyletic		1.23		14.77	match	match	match	split	0.53	0.46
Plateumaris braccata	1	1	monophyletic		N/A		15.45	match	match	match	match	0	N/A
Plateumaris discolor	7	5	paraphyletic	Plateumaris sericea	3.62	2.06	0.61	merge	mixture	mixture	mixture	502.46	264.36
Plateumaris sericea	1	1	monophyletic		N/A		0.61	merge	mixture	mixture	mixture	0	N/A
Plateumaris weisei	2	2	monophyletic		0.15		16.59	match	match	match	match	0	N/A
Platycerus caprea	4	2	monophyletic		0.15		17.05	match	match	match	match	435.23	213.35
Platycis minuta	1	1	monophyletic		N/A		18.34	match	match	match	match	0	N/A
Platydracus fulvipes	3	2	monophyletic		0.15		9.94	match	match	match	match	496.15	279.50
Platydracus latebricola	1	1	monophyletic		N/A		9.94	match	match	match	match	0	N/A
Platynus assimilis	6	2	monophyletic		0.15		9.39	match	match	match	match	155.41	99.75
Platynus mannerheimii	3	1	monophyletic		0.00		8.30	match	match	match	match	0.00	0.00
Platysoma deplanatum	1	1	monophyletic		N/A		19.49	match	match	match	match	0	N/A
Platystethus arenarius	2	1	monophyletic		0.00		15.35	match	match	match	match	0	N/A
Platystethus nodifrons	1	1	monophyletic		N/A		21.34	match	match	match	match	0	N/A
Platystomos albinus	5	4	monophyletic		0.46		19.04	match	match	match	match	170.64	163.26
Plegaderus saucius	2	1	monophyletic		0.00		17.87	match	match	match	match	0	N/A
Pocadius ferrugineus	2	1	monophyletic		0.00		18.97	match	match	match	match	0	N/A
Podabrus alpinus	3	1	monophyletic		0.00		10.76	match	match	match	match	456.12	395.01
Podabrus flavimanus	2	1	monophyletic		0.00		7.20	match	match	match	match	0	N/A
Podabrus lapponicus	4	1	monophyletic		0.00		7.20	match	match	match	match	226.20	175.03
Podistra schoenherri	2	1	monophyletic		0.00		10.76	match	match	match	match	0	N/A
Poecilium alni	3	2	monophyletic		0.16		17.12	match	match	match	match	348.61	301.90
Poecilonota variolosa	3	1	monophyletic		0.00		16.47	match	match	match	match	385.77	248.38
Poecilus cupreus	5	1	monophyletic		0.00		4.87	match	match	match	match	233.91	136.07
Poecilus lepidus	3	1	monophyletic		0.00		7.17	match	match	match	match	364.74	145.13
Poecilus versicolor	7	3	monophyletic		0.92		4.87	match	match	match	match	479.58	261.37
Pogonocherus decoratus	4	1	monophyletic		0.00		19.39	match	match	match	match	0.00	0.00
Pogonocherus hispidus	1	1	monophyletic		N/A		18.05	match	match	match	match	0	N/A
Polydrusus cervinus	4	4	monophyletic		2.01	1.54	12.17	match	match	match	match	291.09	225.48
Polydrusus fulvicornis	5	4	monophyletic		0.76		14.86	match	match	match	match	213.28	173.29
Polydrusus mollis	4	4	monophyletic		0.61		18.51	match	match	match	match	283.16	98.02
Polydrusus pilosus	4	4	monophyletic		0.46		12.17	match	match	match	match	365.73	262.79
Polydrusus tereticollis	3	3	monophyletic		0.46		14.86	match	match	match	match	318.81	179.27
Porhydrus lineatus	2	2	monophyletic		0.15		12.58	match	match	match	match	0	N/A
Prasocuris phellandrii	1	1	monophyletic		N/A		16.49	match	match	match	match	0	N/A
Pria dulcamarae	5	4	monophyletic		0.47		14.71	match	match	match	match	122.56	101.08
Prionus coriarius	1	1	monophyletic		N/A		19.76	match	match	match	match	0	N/A
Propylea quatuordecimpunctata	6	4	monophyletic		1.08		13.64	match	match	match	match	359.13	214.91
Prosternon tessellatum	5	1	monophyletic		0.00		16.33	match	match	match	match	305.29	229.01
Protaetia cuprea	3	3	monophyletic		0.46		13.78	match	match	match	match	559.47	216.79
Protaetia marmorata	3	1	monophyletic		0.00		12.20	match	match	match	match	42.51	36.82
Proteinus brachypterus	5	5	monophyletic		1.70	1.23	13.72	match	match	match	match	505.89	428.54
Proteinus laevigatus	1	1	monophyletic		N/A		13.72	match	match	match	match	0	N/A
Psammodius asper	1	1	monophyletic		N/A		15.36	match	match	match	match	0	N/A
Psammoecus bipunctatus	3	1	monophyletic		0.00		16.70	match	match	match	match	188.11	162.91
Pselaphus heisei	5	3	monophyletic		0.61		14.18	match	match	match	match	379.64	213.65
Pseudocistela ceramboides	1	1	monophyletic		N/A		15.62	match	match	match	match	0	N/A
Pseudovadonia livida	6	2	monophyletic		2.33	2.15	15.56	split	split	match	split	25.45	21.51
Psylliodes affinis	14	5	monophyletic		0.46		17.04	match	match	match	match	181.77	118.87
Psylliodes crambicola	6	1	monophyletic		0.00		3.28	match	match	match	match	70.22	58.85
Psylliodes dulcamarae	5	3	monophyletic		1.95	1.70	15.55	split	match	match	split	80.36	100.36
Psylliodes marcidus	2	1	monophyletic		0.00		3.28	match	match	match	match	0	N/A
Psylliodes napi	13	3	monophyletic		1.28		13.53	match	match	match	match	244.30	304.44
Psyllobora vigintiduopunctata	3	3	monophyletic		1.07		13.00	match	match	match	match	540.51	307.39
Ptenidium formicetorum	2	2	monophyletic		0.92		12.28	match	match	match	match	0	N/A
Ptenidium nitidum	3	1	monophyletic		0.00		16.61	match	match	match	match	205.32	177.81
Ptenidium punctatum	1	1	monophyletic		N/A		14.05	match	match	match	match	0	N/A
Ptenidium pusillum	1	1	monophyletic		N/A		12.28	match	match	match	match	0	N/A
Pteroloma forsstromii	3	2	monophyletic		0.15		12.75	match	match	match	match	87.57	75.83
Pterostichus adstrictus	5	2	paraphyletic	Pterostichus oblongopunctatus	0.15		0.00	merge	merge	merge	merge	56.06	48.25
