Species	Individuals sampled	Haplotypes observed	Monophyly assessment	Tanglees (for non-monophyletic species)	Maximum intraspecific divergence	Deepest intraspecific split (K2P)	Distance to nearest neighbor (K2P)	ABGD outcome	BIN outcome	GMYC outcome	PTP outcome	Average distance between samplings (km)	Stdev of distances between samplings (km)
Anotylus rugosus	5	3	monophyletic		5.30	4.93	11.81	split	split	split	split	396.53	178.36
Anthaxia quadripunctata	5	1	monophyletic		0.00		17.99	match	match	match	match	251.88	247.50
Antherophagus pallens	1	1	monophyletic		N/A		19.94	match	match	match	match	0	N/A
Anthicus antherinus	5	3	monophyletic		0.30		12.39	match	match	match	match	237.56	305.39
Anthicus ater	6	2	monophyletic		0.15		13.46	match	match	match	match	403.54	224.67
Anthicus flavipes	5	5	monophyletic		1.86	0.61	12.39	match	match	match	match	427.70	205.52
Anthicus sellatus	2	1	monophyletic		0.00		13.70	match	match	match	match	0	N/A
Anthobium atrocephalum	6	2	monophyletic		0.15		11.77	match	match	match	match	374.84	255.59
Anthobium unicolor	1	1	monophyletic		N/A		11.77	match	match	match	match	0	N/A
Anthocomus fasciatus	2	1	monophyletic		0.00		12.39	match	match	match	match	0	N/A
Anthocomus rufus	3	1	monophyletic		0.00		12.39	match	match	match	match	11.06	9.13
Anthonomus conspersus	2	2	monophyletic		0.30		14.67	match	match	match	match	0	N/A
Anthonomus phyllocola	2	2	monophyletic		0.80		0.16	merge	merge	merge	merge	0	N/A
Anthonomus pinivorax	3	1	monophyletic		0.00		0.16	merge	merge	merge	merge	0.00	0.00
Anthonomus pomorum	4	2	monophyletic		0.61		16.93	match	match	match	match	0.00	0.00
Anthonomus rectirostris	1	1	monophyletic		N/A		14.67	match	match	match	match	0	N/A
Anthonomus rubi	7	6	monophyletic		0.67		17.00	match	match	match	match	395.73	234.37
Anthophagus alpinus	4	4	monophyletic		0.30		11.71	match	match	match	match	229.35	79.05
Anthophagus angusticollis	1	1	monophyletic		N/A		7.38	match	match	match	match	0	N/A
Anthophagus caraboides	2	2	monophyletic		1.63	1.63	13.75	match	match	match	split	0	N/A
Anthophagus omalinus	2	1	monophyletic		0.00		7.38	match	match	match	match	0	N/A
Anthrenus museorum	4	2	monophyletic		0.15		19.71	match	match	match	match	362.30	277.63
Anthrenus scrophulariae	3	2	monophyletic		0.16		17.79	match	match	match	match	193.62	165.27
Anthribus nebulosus	2	2	monophyletic		0.15		17.60	match	match	match	match	0	N/A
Aphidecta obliterata	5	5	monophyletic		1.54	1.23	15.77	match	match	split	match	362.41	244.43
Aphodius borealis	7	4	monophyletic		1.70	1.39	14.09	split	match	match	match	249.54	266.23
Aphodius brevis	1	1	monophyletic		N/A		14.30	match	match	match	match	0	N/A
Aphodius conspurcatus	4	3	monophyletic		0.77		13.32	match	match	match	match	0.00	0.00
Aphodius contaminatus	3	2	monophyletic		0.30		13.76	match	match	match	match	0.00	0.00
Aphodius depressus	2	2	monophyletic		1.86	1.86	15.90	match	match	match	match	0	N/A
Aphodius distinctus	6	6	monophyletic		1.08		10.95	match	match	match	match	190.14	215.47
Aphodius fasciatus	4	3	monophyletic		0.61		14.43	match	match	match	match	16.19	11.59
Aphodius fossor	2	2	monophyletic		1.07		13.70	match	match	match	match	0	N/A
Aphodius lapponum	2	1	monophyletic		0.00		7.77	match	match	match	match	0	N/A
Aphodius niger	1	1	monophyletic		N/A		8.49	match	match	match	match	0	N/A
Aphodius paykulli	1	1	monophyletic		N/A		13.32	match	match	match	match	0	N/A
Aphodius piceus	2	1	monophyletic		0.00		7.77	match	match	match	match	0	N/A
Aphodius plagiatus	3	3	monophyletic		0.46		8.49	match	match	match	match	0.00	0.00
Aphodius prodromus	2	2	paraphyletic	Aphodius punctatosulcatus	9.75	9.75	4.25	mixture	split	split	split	0	N/A
Aphodius punctatosulcatus	2	2	monophyletic		0.15		4.25	mixture	match	match	match	0	N/A
Aphodius rufus	6	3	monophyletic		1.07		14.53	match	match	match	match	531.18	346.43
Aphodius subterraneus	1	1	monophyletic		N/A		12.04	match	match	match	match	0	N/A
Aphthona erichsoni	1	1	monophyletic		N/A		17.00	match	match	match	match	0	N/A
Aphthona lutescens	5	3	monophyletic		2.17	2.01	14.75	split	match	match	split	462.59	297.14
Apion apricans	4	3	monophyletic		1.07		9.64	match	match	match	match	403.57	221.09
Apion assimile	3	2	monophyletic		0.15		11.74	match	match	match	match	167.46	145.02
Apion astragali	1	1	monophyletic		N/A		17.22	match	match	match	match	0	N/A
Apion cerdo	5	3	monophyletic		0.92		12.57	match	match	match	match	232.63	256.19
Apion cruentatum	2	1	monophyletic		0.00		7.36	match	match	match	match	0	N/A
Apion curtirostre	2	2	monophyletic		0.61		18.76	match	match	match	match	0	N/A
Apion ervi	3	1	monophyletic		0.00		14.39	match	match	match	match	305.51	35.29
Apion facetum	4	2	monophyletic		5.44	5.42	9.53	match	split	split	split	128.57	90.04
Apion frumentarium	2	2	monophyletic		0.15		7.36	match	match	match	match	0	N/A
